Key,日期,科目,項目,金額,備註1,備註2,編輯
2345,2014-01-02,6.銀支,貨款-耳機,7500,黑曜石,進貨單號:1125,
2197,2014-01-31,8.票支,貨款-耳機,136461,思維,392,
2246,2014-01-31,8.票支,貨款-耳機,52695,永聖,398,
2318,2014-01-31,8.票支,貨款-耳機,12800,福群,404,
2365,2014-01-31,8.票支,貨款-耳機,6430,悅聲,406,
2366,2014-01-31,8.票支,貨款-耳機,20900,泳銓,407,
2367,2014-01-31,8.票支,貨款-耳機,35627,鍵寧,408,
2368,2014-01-31,8.票支,貨款-耳機,160355,米地摩爾,409,
2369,2014-01-31,8.票支,貨款-耳機,421300,宙宣,410,
2371,2014-01-31,8.票支,貨款-耳機,233100,富銘,411,
2372,2014-01-31,8.票支,貨款-耳機,13608,富銘,412,
2376,2014-01-31,8.票支,貨款-耳機,521940,鼎恆,414,
2442,2014-01-31,8.票支,貨款-耳機,7928,嘉亨,415,
2443,2014-01-31,8.票支,貨款-耳機,75010,管迷,416,
2605,2014-01-31,8.票支,貨款-耳機,11100,統一數位,437,
2623,2014-01-31,8.票支,貨款-耳機,10576,鍵寧,446,
2702,2014-01-31,8.票支,貨款-耳機,4650,水木清華,449,
2475,2014-01-20,8.票支,貨款-耳機,1498,DHL快遞,419,
2445,2014-01-15,8.票支,貨款-耳機,2998,DHL快遞,418,
2476,2014-01-15,8.票支,貨款-耳機,11150,先鋒,420,
2244,2014-01-13,8.票支,貨款-耳機,1063,DHL快遞,397,
